studytime,score
2,111
1,107
3,26
3,63
4,7
2,10
2,68
2,55
3,46
3,87
2,96
1,95
2,118
2,93
3,75
2,110
3,100
3,19
2,20
2,74
4,92
4,66
4,10
3,43
2,106
4,30
1,38
1,115
4,66
2,76
4,120
4,6
2,99
2,92
2,115
3,117
2,114
1,36
2,118
1,16
3,77
1,91
2,14
4,105
2,71
2,14
4,119
4,68
2,76
2,12
4,118
2,7
2,83
2,71
2,29
4,68
3,108
1,105
3,3
1,86
1,53
1,10
1,18
4,55
1,39
1,77
2,37
4,27
1,35
3,74
3,30
2,14
4,102
4,70
1,25
3,103
3,3
1,92
2,36
2,92
3,31
1,32
2,54
3,61
2,35
4,39
4,65
2,103
3,119
4,76
2,40
1,57
2,7
2,35
1,18
3,89
3,111
3,38
1,88
1,17
