coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Switchback Railway,600 ft (180 m),6 mph (9.7 km/h),Coney Island,Removed,"June 16, 1884",Wood,LaMarcus Adna Thompson,,Lift Packed,50 ft (15 m),,gravity,,,Coney Island Cyclone Site,1:00,1600 riders per hour,2.9,LaMarcus Adna Thompson,30°,43 ft (13 m),,,,Gravity pulled coaster,,,,,,,,,,,,,,,,1884,40.574,-73.978,Wood,1884-06-16,6 mph ,9.7 km/h,6.0,mph,6.0,50.0,ft,,0,2.9
Flip Flap Railway,,,Sea Lion Park,Removed,1895,Wood,Lina Beecher,,,,1,,,a single car. Riders are arranged 1 across in 2 rows for a total of 2 riders per train.,,,,12,Lina Beecher,,,,,,,,,1902,,,,,,,,,,,,,1895,40.578,-73.979,Wood,1895-01-01,,,,,,,,,1,12.0
Switchback Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,Other,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1896,41.58,-81.57,Other,,,,,,,,,,0,
Loop the Loop (Coney Island),,,Other,Removed,1901,Steel,Edwin Prescott,,,,1,,,a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,,,Edward A. Green,,,,,Switchback Railway,,,,1910,,Giant Racer,,,,,,,,,,,1901,40.5745,-73.978,Steel,1901-01-01,,,,,,,,,1,
Loop the Loop (Young's Pier),,,Other,Removed,1901,Steel,Edwin Prescott,,,,1,,,,,,,,Edward A. Green,,,,,,,,,1912,,,,,,,,,,,,,1901,39.3538,-74.4342,Steel,1901-01-01,,,,,,,,,1,
Cannon Coaster,,,Coney Island,Removed,1902,Wood,George Francis Meyer,,,40 ft (12 m),,,,,,,,,,,,,,,,,,1907,,,,,,,,,,,,,1902,40.575,-73.98,Wood,1902-01-01,,,,,,40.0,ft,,0,
Leap-The-Dips,"1,452 ft (443 m)",10 mph (16 km/h),Lakemont Park,Operating,1902,Wood – Side friction,Federal Construction Company,,,41 ft (12 m),,,,,,1:00,,,Edward Joy Morris,25°,9 ft (2.7 m),,,,,,,,,,,,,,,,,,,,1902,,,Wood,1902-01-01,10 mph ,16 km/h,10.0,mph,10.0,41.0,ft,,0,
Figure Eight (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,Other,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1904,41.58,-81.57,Other,,,,,,,,,,0,
Drop the Dip,,,Coney Island,Removed,"June 6, 1907",Other,Arthur Jarvis,,,60 ft (18 m),,,,,,1 minute 30 seconds,,,"Christopher Feucht, Welcome Mosley",,,,,,,,,1930s,,,,,,,,,,,,,1907,40.5744,-73.9786,Other,1907-06-06,,,,,,60.0,ft,,0,
Scenic Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,Other,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1907,41.58,-81.57,Other,,,,,,,,,,0,
Loop the Loop (Olentangy Park),,,Olentangy Park,Removed,1908,Steel,Lina Beecher,,,,1,,,,,,,,Lina Beecher,,,,,,,,,,,,,,,,,,,,,,1908,40.0204,-83.0143,Steel,1908-01-01,,,,,,,,,1,
Aero Dips,,,"Cleveland, Ohio, United States",Closed,,Other,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1909,41.58,-81.57,Other,,,,,,,,,,0,
Backety-Back Scenic Railway,,10 mph (16 km/h),Crystal Beach,Removed,1909,Wood – Shuttle,,,,,0,,"$50,000",2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,,,John H. Brown,,,,,,,,,1926,,,,,,,,,,,,,1909,42.8675,-79.0592,Wood,1909-01-01,10 mph ,16 km/h,10.0,mph,10.0,,,,0,
